total,grow,noise,real
352.650146484375,353.0021667480469,-0.6877886056900024,353.7344970703125
353.3442077636719,353.5123596191406,-0.9311339855194092,353.16400146484375
355.4455871582031,354.0145263671875,-0.983055055141449,352.71905517578125
356.18756103515625,354.5146484375,-0.9941774606704712,355.50482177734375
355.89569091796875,355.0141906738281,-0.9968867897987366,355.4880065917969
355.4627380371094,355.5136413574219,-0.9976457953453064,355.0706481933594
355.7054748535156,356.01312255859375,-0.9978881478309631,355.5194396972656
356.1614990234375,356.5126037597656,-0.9979749917984009,356.1106262207031
356.6533508300781,357.0120849609375,-0.9980096220970154,354.9466552734375
357.1514892578125,357.5115661621094,-0.9980247020721436,355.1357421875
357.650634765625,358.01104736328125,-0.9980318546295166,358.068359375
358.15008544921875,358.5105285644531,-0.9980356097221375,356.9952087402344
358.6495361328125,359.010009765625,-0.9980378150939941,357.2628173828125
359.14898681640625,359.50946044921875,-0.998040497303009,358.562255859375
359.64849853515625,360.00897216796875,-0.9980525970458984,359.7682189941406
360.1481018066406,360.5085754394531,-0.9980537295341492,359.54718017578125
360.6476745605469,361.0081481933594,-0.9980539679527283,360.3542785644531
361.1472473144531,361.5077209472656,-0.9980541467666626,361.842041015625
361.6468200683594,362.0072937011719,-0.9980543255805969,362.1079406738281
362.1463928222656,362.5068664550781,-0.9980543851852417,362.0224609375
362.6459655761719,363.0064392089844,-0.9980544447898865,362.0965576171875
363.1455383300781,363.5060119628906,-0.9980546236038208,358.98211669921875
363.6451110839844,364.0055847167969,-0.9980546832084656,358.6759033203125
364.1446838378906,364.5051574707031,-0.9980546832084656,361.5223388671875
364.6442565917969,365.0047302246094,-0.9980559349060059,362.2696228027344
365.1439514160156,365.5044250488281,-0.9980562925338745,361.4136657714844
365.64361572265625,366.00408935546875,-0.9980568885803223,360.5916442871094
366.1432189941406,366.5036926269531,-0.9980607032775879,360.0624694824219
366.6429138183594,367.0033874511719,-0.9980610013008118,361.17193603515625
367.142578125,367.5030517578125,-0.9980631470680237,362.3545837402344
367.6423645019531,368.0028381347656,-0.9980635046958923,363.47918701171875
368.1421203613281,368.5025939941406,-0.9980642199516296,362.0225524902344
368.64178466796875,369.00225830078125,-0.9980777502059937,361.5176086425781
369.1417236328125,369.502197265625,-0.998088538646698,362.52752685546875
369.641845703125,370.0023193359375,-0.998088538646698,363.5384521484375
370.1419982910156,370.5024719238281,-0.9980877041816711,365.2539978027344
370.6421813964844,371.0026550292969,-0.9980868101119995,367.1116943359375
371.1423645019531,371.5028381347656,-0.9980865716934204,367.25506591796875
371.642578125,372.0030517578125,-0.9980864524841309,366.4490051269531
372.1427917480469,372.5032653808594,-0.9980864524841309,368.3639831542969
372.64300537109375,373.00347900390625,-0.9980864524841309,369.81011962890625
373.1432189941406,373.5036926269531,-0.9980864524841309,370.1025695800781
373.6434326171875,374.00390625,-0.9980864524841309,370.41644287109375
374.1436462402344,374.5041198730469,-0.9980864524841309,369.62652587890625
374.64385986328125,375.00433349609375,-0.9980864524841309,370.7348327636719
